model,question_id,condition_id,chunk_size,retrieval_strategy,indexing_representation,category,case,outcome,coverage_at_5,chunk_size_sensitive,bertscore_cosine
qwen3.8-27b@q4_k_xl,ref_them_10,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk500_dense,500,dense,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk500_dense,500,dense,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk500_dense,500,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk500_dense,500,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk500_dense,500,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk500_dense,500,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk500_dense,500,dense,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk500_hybrid,500,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk500_hybrid,500,hybrid,text_only,comparative,C,answered_grounded_correct,0.5,False,0.8560937643051147
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk500_hybrid,500,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk500_hybrid,500,hybrid,text_only,comparative,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk500_hybrid,500,hybrid,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk500_hybrid,500,hybrid,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk500_hybrid,500,hybrid,text_only,factual,C,answered_grounded_correct,1.0,True,0.9435728192329407
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk500_hybrid,500,hybrid,text_only,factual,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk500_hybrid,500,hybrid,text_only,factual,C,answered_grounded_correct,1.0,False,0.9264798164367676
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk500_hybrid,500,hybrid,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_01,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_02,chunk500_hybrid,500,hybrid,text_only,thematic,C,answered_grounded_correct,0.5,False,0.8213786482810974
qwen3.8-27b@q4_k_xl,ref_them_03,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,True,
qwen3.8-27b@q4_k_xl,ref_them_04,chunk500_hybrid,500,hybrid,text_only,thematic,C,answered_grounded_correct,0.5,True,0.7354834675788879
qwen3.8-27b@q4_k_xl,ref_them_05,chunk500_hybrid,500,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_06,chunk500_hybrid,500,hybrid,text_only,thematic,C,answered_grounded_correct,0.5,False,0.7148631811141968
qwen3.8-27b@q4_k_xl,ref_them_07,chunk500_hybrid,500,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_08,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_09,chunk500_hybrid,500,hybrid,text_only,thematic,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_10,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_11,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_12,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_13,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_14,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_them_15,chunk500_hybrid,500,hybrid,text_only,thematic,B,answered_ungrounded,0.0,True,
qwen3.8-27b@q4_k_xl,ref_unans_01,chunk500_hybrid,500,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_02,chunk500_hybrid,500,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_03,chunk500_hybrid,500,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_05,chunk500_hybrid,500,hybrid,text_only,unanswerable,A,abstained,,False,
qwen3.8-27b@q4_k_xl,ref_unans_06,chunk500_hybrid,500,hybrid,text_only,unanswerable,A,abstained,,False,
