model,family,scope,a,b,case,outcome,n_matched,win,loss,tie,n_disc,p,testable,p_holm
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,B,answered_grounded_correct,10,1,0,9,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,B,answered_grounded_correct,10,1,0,9,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,B,answered_grounded_correct,9,0,1,8,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,B,answered_grounded_correct,10,1,1,8,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,B,answered_grounded_correct,10,1,1,8,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,B,answered_grounded_correct,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,B,answered_grounded_correct,9,0,1,8,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,B,answered_grounded_correct,11,0,1,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,B,answered_grounded_correct,10,0,1,9,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,B,answered_grounded_correct,8,0,1,7,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,B,answered_grounded_correct,9,0,1,8,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,B,answered_grounded_correct,9,0,1,8,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,B,answered_grounded_correct,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,B,answered_grounded_correct,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,B,answered_grounded_offtarget,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,B,answered_grounded_offtarget,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,B,answered_grounded_offtarget,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,B,answered_grounded_offtarget,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,B,answered_grounded_offtarget,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,B,answered_grounded_offtarget,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,B,answered_grounded_offtarget,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,B,answered_grounded_offtarget,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,B,answered_ungrounded,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,B,answered_ungrounded,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,B,answered_ungrounded,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,B,answered_ungrounded,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,B,answered_ungrounded,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,B,answered_ungrounded,9,0,0,9,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,B,answered_ungrounded,10,0,0,10,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,B,answered_ungrounded,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,C,abstained,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,C,abstained,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,C,abstained,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,C,abstained,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,C,answered_grounded_correct,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,C,answered_grounded_correct,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,C,answered_grounded_correct,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,C,answered_grounded_correct,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,C,answered_grounded_offtarget,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,C,answered_grounded_offtarget,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,C,answered_grounded_offtarget,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,C,answered_grounded_offtarget,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_dense,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk200_hybrid,C,answered_ungrounded,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_bm25,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_dense,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_bm25,chunk500_hybrid,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk200_hybrid,C,answered_ungrounded,2,0,0,2,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_bm25,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_dense,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_dense,chunk500_hybrid,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_bm25,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_dense,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk200_hybrid,chunk500_hybrid,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_dense,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_bm25,chunk500_hybrid,C,answered_ungrounded,1,0,0,1,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,factual (n=14),chunk500_dense,chunk500_hybrid,C,answered_ungrounded,0,0,0,0,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_dense,B,abstained,12,1,0,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_hybrid,B,abstained,12,1,0,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_bm25,B,abstained,13,2,2,9,4,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_dense,B,abstained,12,1,1,10,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_hybrid,B,abstained,12,1,0,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk200_hybrid,B,abstained,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_bm25,B,abstained,12,1,2,9,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_dense,B,abstained,11,0,2,9,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_hybrid,B,abstained,11,0,1,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_bm25,B,abstained,12,2,3,7,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_dense,B,abstained,11,0,1,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_hybrid,B,abstained,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_dense,B,abstained,12,2,1,9,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_hybrid,B,abstained,12,3,2,7,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_dense,chunk500_hybrid,B,abstained,11,1,0,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_dense,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_hybrid,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_bm25,B,answered_grounded_correct,13,0,1,12,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_dense,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_hybrid,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk200_hybrid,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_bm25,B,answered_grounded_correct,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_dense,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_hybrid,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_bm25,B,answered_grounded_correct,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_dense,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_hybrid,B,answered_grounded_correct,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_dense,B,answered_grounded_correct,12,1,0,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_hybrid,B,answered_grounded_correct,12,1,0,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_dense,chunk500_hybrid,B,answered_grounded_correct,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_dense,B,answered_grounded_offtarget,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_hybrid,B,answered_grounded_offtarget,12,1,1,10,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_bm25,B,answered_grounded_offtarget,13,3,2,8,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_dense,B,answered_grounded_offtarget,12,1,1,10,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_hybrid,B,answered_grounded_offtarget,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk200_hybrid,B,answered_grounded_offtarget,12,2,0,10,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_bm25,B,answered_grounded_offtarget,12,3,1,8,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_dense,B,answered_grounded_offtarget,11,2,0,9,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk500_hybrid,B,answered_grounded_offtarget,11,1,0,10,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_bm25,B,answered_grounded_offtarget,12,3,2,7,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_dense,B,answered_grounded_offtarget,11,0,0,11,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_hybrid,chunk500_hybrid,B,answered_grounded_offtarget,12,1,1,10,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_dense,B,answered_grounded_offtarget,12,1,3,8,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_bm25,chunk500_hybrid,B,answered_grounded_offtarget,12,2,3,7,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk500_dense,chunk500_hybrid,B,answered_grounded_offtarget,11,1,1,9,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_dense,B,answered_ungrounded,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk200_hybrid,B,answered_ungrounded,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_bm25,B,answered_ungrounded,13,0,0,13,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_dense,B,answered_ungrounded,12,0,0,12,0,,False,
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_bm25,chunk500_hybrid,B,answered_ungrounded,12,0,1,11,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 2 — chunk size and strategy within text_only,thematic (n=15),chunk200_dense,chunk200_hybrid,B,answered_ungrounded,12,0,1,11,1,1.0,True,1.0
